,threshold,train_dataset_accuracy,test_dataset_accuracy
0,6.997920329747018e-05,0.4554 (92/202),0.4074 (22/54)
0,7.049683734124399e-05,0.4554 (92/202),0.4074 (22/54)
0,7.101830030833571e-05,0.4554 (92/202),0.4074 (22/54)
0,7.154362052117493e-05,0.4554 (92/202),0.4074 (22/54)
0,7.207282651169132e-05,0.4554 (92/202),0.4074 (22/54)
0,7.260594702286472e-05,0.4554 (92/202),0.4074 (22/54)
0,7.314301101028557e-05,0.4554 (92/202),0.4074 (22/54)
0,7.3684047643728e-05,0.4554 (92/202),0.4074 (22/54)
0,7.422908630873412e-05,0.4554 (92/202),0.4074 (22/54)
0,7.477815660820985e-05,0.4554 (92/202),0.4074 (22/54)
0,7.533128836403335e-05,0.4554 (92/202),0.4074 (22/54)
0,7.588851161867386e-05,0.4554 (92/202),0.4074 (22/54)
0,7.644985663682399e-05,0.4554 (92/202),0.4074 (22/54)
0,7.701535390704338e-05,0.4554 (92/202),0.4074 (22/54)
0,7.758503414341448e-05,0.4554 (92/202),0.4074 (22/54)
0,7.815892828721129e-05,0.4554 (92/202),0.4074 (22/54)
0,7.873706750857906e-05,0.4554 (92/202),0.4074 (22/54)
0,7.931948320822782e-05,0.4554 (92/202),0.4074 (22/54)
0,7.990620701913762e-05,0.4554 (92/202),0.4074 (22/54)
0,8.049727080827664e-05,0.4554 (92/202),0.4074 (22/54)
0,8.109270667833249e-05,0.4554 (92/202),0.4074 (22/54)
0,8.16925469694549e-05,0.4554 (92/202),0.4074 (22/54)
0,8.229682426101289e-05,0.4554 (92/202),0.4074 (22/54)
0,8.290557137336406e-05,0.4554 (92/202),0.4074 (22/54)
0,8.351882136963707e-05,0.4554 (92/202),0.4074 (22/54)
0,8.413660755752799e-05,0.4554 (92/202),0.4074 (22/54)
0,8.475896349110845e-05,0.4554 (92/202),0.4074 (22/54)
0,8.538592297264866e-05,0.4554 (92/202),0.4074 (22/54)
0,8.601752005445325e-05,0.4554 (92/202),0.4074 (22/54)
0,8.665378904071047e-05,0.4554 (92/202),0.4074 (22/54)
0,8.729476448935619e-05,0.4554 (92/202),0.4074 (22/54)
0,8.794048121394974e-05,0.4554 (92/202),0.4074 (22/54)
0,8.859097428556545e-05,0.4554 (92/202),0.4074 (22/54)
0,8.924627903469736e-05,0.4554 (92/202),0.4074 (22/54)
0,8.990643105317788e-05,0.4554 (92/202),0.4074 (22/54)
0,9.05714661961117e-05,0.4554 (92/202),0.4074 (22/54)
0,9.124142058382209e-05,0.4554 (92/202),0.4074 (22/54)
0,9.191633060381339e-05,0.4554 (92/202),0.4074 (22/54)
0,9.259623291274725e-05,0.4554 (92/202),0.4074 (22/54)
0,9.328116443843336e-05,0.4554 (92/202),0.4074 (22/54)
0,9.39711623818358e-05,0.4554 (92/202),0.4074 (22/54)
0,9.466626421909256e-05,0.4554 (92/202),0.4074 (22/54)
0,9.536650770355161e-05,0.4554 (92/202),0.4074 (22/54)
0,9.607193086782135e-05,0.4554 (92/202),0.4074 (22/54)
0,9.678257202583597e-05,0.4554 (92/202),0.4074 (22/54)
0,9.749846977493731e-05,0.4554 (92/202),0.4074 (22/54)
0,9.821966299796996e-05,0.4554 (92/202),0.4074 (22/54)
0,9.894619086539395e-05,0.4554 (92/202),0.4074 (22/54)
0,9.967809283741178e-05,0.4554 (92/202),0.4074 (22/54)
0,0.00010041540866611251,0.4554 (92/202),0.4074 (22/54)
0,0.00010115817839762958,0.4554 (92/202),0.4074 (22/54)
0,0.00010190644237431665,0.4554 (92/202),0.4074 (22/54)
0,0.00010266024123693846,0.4554 (92/202),0.4074 (22/54)
0,0.00010341961592687845,0.4554 (92/202),0.4074 (22/54)
0,0.00010418460768836225,0.4554 (92/202),0.4074 (22/54)
0,0.00010495525807069756,0.4554 (92/202),0.4074 (22/54)
0,0.00010573160893053113,0.4554 (92/202),0.4074 (22/54)
0,0.00010651370243412198,0.4554 (92/202),0.4074 (22/54)
0,0.00010730158105963187,0.4554 (92/202),0.4074 (22/54)
0,0.00010809528759943223,0.4554 (92/202),0.4074 (22/54)
0,0.00010889486516242815,0.4554 (92/202),0.4074 (22/54)
0,0.0001097003571764001,0.4554 (92/202),0.4074 (22/54)
0,0.00011051180739036241,0.4554 (92/202),0.4074 (22/54)
0,0.00011132925987693976,0.4554 (92/202),0.4074 (22/54)
0,0.00011215275903476068,0.4554 (92/202),0.4074 (22/54)
0,0.00011298234959086884,0.4554 (92/202),0.4074 (22/54)
0,0.00011381807660315253,0.4554 (92/202),0.4074 (22/54)
0,0.00011465998546279183,0.4554 (92/202),0.4074 (22/54)
0,0.00011550812189672418,0.4554 (92/202),0.4074 (22/54)
0,0.00011636253197012781,0.4554 (92/202),0.4074 (22/54)
0,0.00011722326208892348,0.4554 (92/202),0.4074 (22/54)
0,0.00011809035900229518,0.4554 (92/202),0.4074 (22/54)
0,0.00011896386980522912,0.4554 (92/202),0.4074 (22/54)
0,0.00011984384194107195,0.4554 (92/202),0.4074 (22/54)
0,0.00012073032320410727,0.4554 (92/202),0.4074 (22/54)
0,0.00012162336174215134,0.4554 (92/202),0.4074 (22/54)
0,0.00012252300605916834,0.4554 (92/202),0.4074 (22/54)
0,0.00012342930501790518,0.4554 (92/202),0.4074 (22/54)
0,0.00012434230784254453,0.4554 (92/202),0.4074 (22/54)
0,0.00012526206412137933,0.4554 (92/202),0.4074 (22/54)
0,0.00012618862380950525,0.4554 (92/202),0.4074 (22/54)
0,0.00012712203723153428,0.4554 (92/202),0.4074 (22/54)
0,0.00012806235508432834,0.4554 (92/202),0.4074 (22/54)
0,0.0001290096284397524,0.4554 (92/202),0.4074 (22/54)
0,0.00012996390874744836,0.4554 (92/202),0.4074 (22/54)
0,0.0001309252478376295,0.4554 (92/202),0.4074 (22/54)
0,0.00013189369792389568,0.4554 (92/202),0.4074 (22/54)
0,0.00013286931160606927,0.4554 (92/202),0.4074 (22/54)
0,0.000133852141873052,0.4554 (92/202),0.4074 (22/54)
0,0.00013484224210570268,0.4554 (92/202),0.4074 (22/54)
0,0.0001358396660797368,0.4554 (92/202),0.4074 (22/54)
0,0.000136844467968647,0.4554 (92/202),0.4074 (22/54)
0,0.00013785670234664593,0.4554 (92/202),0.4074 (22/54)
0,0.00013887642419163008,0.4554 (92/202),0.4074 (22/54)
0,0.00013990368888816543,0.4554 (92/202),0.4074 (22/54)
0,0.00014093855223049607,0.4554 (92/202),0.4074 (22/54)
0,0.00014198107042557426,0.4554 (92/202),0.4074 (22/54)
0,0.0001430313000961137,0.4554 (92/202),0.4074 (22/54)
0,0.00014408929828366458,0.4554 (92/202),0.4074 (22/54)
0,0.00014515512245171137,0.4554 (92/202),0.4074 (22/54)
0,0.00014622883048879444,0.4554 (92/202),0.4074 (22/54)
0,0.00014731048071165367,0.4554 (92/202),0.4074 (22/54)
0,0.00014840013186839644,0.4554 (92/202),0.4074 (22/54)
0,0.00014949784314168815,0.4554 (92/202),0.4074 (22/54)
0,0.00015060367415196623,0.4554 (92/202),0.4074 (22/54)
0,0.00015171768496067864,0.4554 (92/202),0.4074 (22/54)
0,0.00015283993607354658,0.4554 (92/202),0.4074 (22/54)
